,volatile acidity,total sulfur dioxide,fixed acidity,pH,quality
1375,0.56,100.0,7.2,3.26,5
1376,0.885,31.0,8.2,3.11,5
1377,0.49,74.0,5.2,3.71,6
1378,0.45,28.0,7.2,3.29,6
1379,0.57,35.0,7.5,3.36,6
1380,0.57,35.0,7.5,3.36,6
1381,0.83,25.0,6.8,3.38,5
1382,0.6,105.0,8.0,3.3,5
1383,0.6,105.0,8.0,3.3,5
1384,0.755,84.0,7.1,3.19,5
1385,0.81,85.0,8.0,3.19,5
1386,0.64,23.0,7.4,3.3,5
1387,0.64,23.0,7.4,3.3,5
1388,0.64,49.0,6.6,3.35,5
1389,0.48,111.0,6.7,3.1,5
1390,0.49,33.0,6.0,3.58,6
1391,0.64,33.0,8.0,3.37,5
1392,0.62,12.0,7.1,3.17,5
1393,0.52,59.0,8.0,3.3,5
1394,0.57,73.0,6.4,3.32,5
1395,0.685,12.0,8.6,3.31,6
1396,0.675,11.0,8.7,3.31,5
1397,0.59,104.0,7.3,3.28,5
1398,0.6,28.0,7.0,3.52,7
1399,0.67,24.0,7.2,3.42,6
1400,0.69,141.0,7.9,3.25,5
1401,0.69,141.0,7.9,3.25,5
1402,0.3,24.0,7.6,3.44,6
1403,0.33,13.0,7.2,3.23,8
1404,0.5,46.0,8.0,3.43,6
1405,0.28,34.0,7.7,3.28,7
1406,0.24,22.0,8.2,3.22,6
1407,0.51,54.0,6.0,3.54,6
1408,0.29,53.0,8.1,3.27,7
1409,0.51,54.0,6.0,3.54,6
1410,0.96,16.0,6.6,3.5,6
1411,0.47,19.0,6.4,3.56,6
1412,0.24,22.0,8.2,3.22,6
1413,0.57,89.0,9.9,3.04,5
1414,0.32,15.0,10.0,3.2,5
1415,0.58,18.0,6.2,3.56,5
1416,0.32,15.0,10.0,3.2,5
1417,0.34,37.0,7.3,3.35,7
1418,0.53,19.0,7.8,3.16,5
1419,0.64,133.0,7.7,3.27,5
1420,0.53,19.0,7.8,3.16,5
1421,0.4,58.0,7.5,3.34,5
1422,0.54,55.0,7.0,3.39,6
1423,0.53,31.0,6.4,3.5,4
1424,0.26,23.0,8.3,3.26,6
1425,0.26,23.0,8.3,3.26,6
1426,0.23,60.0,7.7,3.41,6
1427,0.41,23.0,7.6,3.3,5
1428,0.64,55.0,7.8,3.31,5
1429,0.18,67.0,7.9,3.33,5
1430,0.41,47.0,7.4,3.37,5
1431,0.43,74.0,7.6,3.26,6
1432,0.44,11.0,5.9,3.48,6
1433,0.4,25.0,6.1,3.42,7
1434,0.54,95.0,10.2,3.18,6
1435,0.54,95.0,10.2,3.18,6
1436,0.38,90.0,10.0,3.15,5
1437,0.915,39.0,6.8,3.53,5
1438,0.59,8.0,7.0,3.41,5
1439,0.67,92.0,7.3,3.32,6
1440,0.37,28.0,7.2,3.23,7
1441,0.785,98.0,7.4,3.16,6
1442,0.63,30.0,6.9,3.4,5
1443,0.58,22.0,6.9,3.38,5
1444,0.67,92.0,7.3,3.32,6
1445,0.785,98.0,7.4,3.16,6
1446,0.63,30.0,6.9,3.4,5
1447,0.67,39.0,6.8,3.4,5
1448,0.58,54.0,6.9,3.4,5
1449,0.38,29.0,7.2,3.23,8
1450,0.37,28.0,7.2,3.23,7
1451,0.32,17.0,7.8,3.33,7
1452,0.58,53.0,6.6,3.35,7
1453,0.49,85.0,7.6,3.41,5
1454,0.45,23.0,11.7,3.21,6
1455,0.9,17.0,6.5,3.5,6
1456,0.54,89.0,6.0,3.3,6
1457,0.49,85.0,7.6,3.41,5
1458,0.29,20.0,8.4,3.39,5
1459,0.2,15.0,7.9,3.32,7
1460,0.42,64.0,6.4,3.41,6
1461,0.785,13.0,6.2,3.59,4
1462,0.64,31.0,6.8,3.36,6
1463,0.63,39.0,6.9,3.34,6
1464,0.59,53.0,6.8,3.41,5
1465,0.59,53.0,6.8,3.41,5
1466,0.48,54.0,7.3,3.3,7
1467,1.04,32.0,6.7,3.52,4
1468,0.48,54.0,7.3,3.3,7
1469,0.98,49.0,7.3,3.31,3
1470,0.69,24.0,10.0,2.88,5
1471,0.7,16.0,6.7,3.43,5
1472,0.35,44.0,7.6,3.38,6
1473,0.6,45.0,6.1,3.38,5
1474,0.5,82.0,9.9,3.16,5
1475,0.47,89.0,5.3,3.54,7
1476,0.5,82.0,9.9,3.16,5
1477,0.47,89.0,5.3,3.54,7
1478,0.875,14.0,7.1,3.4,3
1479,0.28,22.0,8.2,3.39,5
1480,0.62,13.0,5.6,3.66,4
1481,0.28,22.0,8.2,3.39,5
1482,0.58,9.0,7.2,3.33,4
1483,0.33,12.0,8.1,3.35,5
1484,0.91,11.0,6.8,3.53,4
1485,0.655,25.0,7.0,3.37,5
1486,0.68,23.0,6.8,3.38,5
1487,0.64,17.0,6.0,3.52,5
1488,0.54,13.0,5.6,3.72,5
1489,0.57,11.0,6.2,3.44,6
1490,0.22,18.0,7.1,3.39,6
1491,0.54,13.0,5.6,3.72,5
1492,0.65,18.0,6.2,3.57,5
1493,0.54,147.0,7.7,3.26,5
1494,0.31,28.0,6.4,3.42,7
1495,0.43,28.0,7.0,3.35,6
1496,0.54,147.0,7.7,3.26,5
1497,0.74,16.0,6.9,3.45,6
1498,0.895,13.0,6.6,3.53,6
1499,0.74,16.0,6.9,3.45,6
1500,0.725,15.0,7.5,3.26,5
1501,0.82,64.0,7.8,3.16,5
1502,0.585,60.0,7.3,3.31,5
1503,0.44,14.0,6.2,3.51,6
1504,0.38,12.0,7.5,3.36,6
1505,0.76,12.0,6.7,3.55,3
1506,0.81,14.0,6.8,3.51,6
1507,0.38,12.0,7.5,3.36,6
1508,0.27,25.0,7.1,3.38,6
1509,0.18,20.0,7.9,3.28,5
1510,0.36,48.0,6.4,3.47,6
1511,0.69,27.0,7.1,3.44,5
1512,0.79,17.0,6.4,3.53,6
1513,0.56,65.0,6.4,3.33,6
1514,0.84,65.0,6.9,3.53,6
1515,0.84,65.0,6.9,3.53,6
1516,0.32,58.0,6.1,3.42,5
1517,0.53,44.0,6.5,3.38,6
1518,0.47,20.0,7.4,3.32,5
1519,0.7,27.0,6.6,3.44,5
1520,0.53,44.0,6.5,3.38,6
1521,0.48,23.0,6.9,3.39,4
1522,0.32,58.0,6.1,3.42,5
1523,0.48,61.0,6.8,3.34,5
1524,0.42,47.0,6.0,3.39,6
1525,0.48,34.0,6.7,3.33,5
1526,0.47,38.0,6.8,3.3,6
1527,0.53,24.0,7.1,3.29,6
1528,0.29,59.0,7.9,3.31,6
1529,0.69,52.0,7.1,3.42,6
1530,0.44,18.0,6.6,3.42,6
1531,0.705,28.0,6.1,3.6,5
1532,0.53,22.0,7.2,3.21,6
1533,0.39,84.0,8.0,3.39,5
1534,0.56,29.0,6.6,3.42,7
1535,0.55,35.0,7.0,3.36,6
1536,0.53,45.0,6.1,3.6,6
1537,0.58,31.0,5.4,3.5,6
1538,0.64,26.0,6.2,3.57,5
1539,0.39,60.0,7.2,3.46,5
1540,0.52,32.0,6.2,3.56,6
1541,0.25,49.0,7.4,3.4,7
1542,0.855,38.0,6.7,3.3,6
1543,0.44,19.0,11.1,3.25,6
1544,0.37,19.0,8.4,3.17,7
1545,0.63,28.0,6.5,3.36,6
1546,0.57,26.0,7.0,3.36,5
1547,0.6,26.0,6.3,3.55,5
1548,0.4,50.0,11.2,3.1,5
1549,0.36,24.0,7.4,3.24,8
1550,0.68,26.0,7.1,3.45,5
1551,0.67,27.0,7.1,3.44,5
1552,0.68,54.0,6.3,3.51,6
1553,0.735,28.0,7.3,3.41,5
1554,0.855,23.0,6.6,3.54,6
1555,0.56,24.0,7.0,3.44,7
1556,0.88,20.0,6.6,3.53,5
1557,0.855,23.0,6.6,3.54,6
1558,0.63,115.0,6.9,3.22,5
1559,0.6,131.0,7.8,3.21,5
1560,0.6,131.0,7.8,3.21,5
1561,0.6,131.0,7.8,3.21,5
1562,0.695,20.0,7.2,3.29,5
1563,0.695,20.0,7.2,3.29,5
1564,0.695,20.0,7.2,3.29,5
1565,0.67,42.0,6.7,3.39,6
1566,0.16,52.0,6.7,3.34,6
1567,0.695,20.0,7.2,3.29,5
1568,0.56,42.0,7.0,3.34,5
1569,0.51,34.0,6.2,3.48,6
1570,0.36,35.0,6.4,3.37,6
1571,0.38,25.0,6.4,3.44,6
1572,0.69,104.0,7.3,3.33,5
1573,0.58,50.0,6.0,3.58,6
1574,0.31,92.0,5.6,3.39,6
1575,0.52,20.0,7.5,3.26,6
1576,0.3,29.0,8.0,3.3,6
1577,0.7,27.0,6.2,3.54,6
1578,0.67,20.0,6.8,3.42,6
1579,0.56,32.0,6.2,3.54,5
1580,0.35,26.0,7.4,3.36,6
1581,0.56,32.0,6.2,3.54,5
1582,0.715,27.0,6.1,3.57,5
1583,0.46,98.0,6.2,3.33,5
1584,0.32,34.0,6.7,3.29,7
1585,0.39,48.0,7.2,3.3,6
1586,0.31,60.0,7.5,3.34,6
1587,0.61,28.0,5.8,3.55,6
1588,0.66,102.0,7.2,3.27,6
1589,0.725,79.0,6.6,3.29,5
1590,0.55,35.0,6.3,3.32,6
1591,0.74,26.0,5.4,3.67,6
1592,0.51,40.0,6.3,3.42,6
1593,0.62,38.0,6.8,3.42,6
1594,0.6,44.0,6.2,3.45,5
1595,0.55,51.0,5.9,3.52,6
1596,0.51,40.0,6.3,3.42,6
1597,0.645,44.0,5.9,3.57,5
1598,0.31,42.0,6.0,3.39,6
